Year,Cash
2025,0
2026,1000
2027,2200
2028,3600
2029,5200
2030,7000
2031,9000
2032,11200
2033,13600
2034,16200
2035,19000
2036,22000
2037,25200
2038,28600
2039,32200
2040,36000
2041,40000
2042,44200
2043,48600
2044,53200
2045,58000
2046,63000
2047,68200
2048,73600
2049,79200
2050,85000
2051,91000
2052,97200
2053,103600
2054,110200
2055,117000
2056,124000
2057,131200
2058,138600
2059,146200
2060,154000
2061,162000
2062,170200
2063,178600
2064,187200
2065,196000
2066,205000
2067,214200
2068,223600
2069,233200
2070,243000
2071,253000
2072,263200
2073,273600
2074,284200
2075,295000
2076,306000
2077,317200
2078,328600
2079,340200
2080,352000
2081,364000
2082,376200
2083,388600
2084,401200
2085,414000
2086,427000
2087,440200
2088,453600
