Simulation Event Log

Year: 2025, Type: Income, Amount: 1000, Name: Pay Check
Year: 2026, Type: Income, Amount: 1200, Name: Pay Check
Year: 2027, Type: Income, Amount: 1400, Name: Pay Check
Year: 2028, Type: Income, Amount: 1600, Name: Pay Check
Year: 2029, Type: Income, Amount: 1800, Name: Pay Check
Year: 2030, Type: Income, Amount: 2000, Name: Pay Check
Year: 2031, Type: Income, Amount: 2200, Name: Pay Check
Year: 2032, Type: Income, Amount: 2400, Name: Pay Check
Year: 2033, Type: Income, Amount: 2600, Name: Pay Check
Year: 2034, Type: Income, Amount: 2800, Name: Pay Check
Year: 2035, Type: Income, Amount: 3000, Name: Pay Check
Year: 2036, Type: Income, Amount: 3200, Name: Pay Check
Year: 2037, Type: Income, Amount: 3400, Name: Pay Check
Year: 2038, Type: Income, Amount: 3600, Name: Pay Check
Year: 2039, Type: Income, Amount: 3800, Name: Pay Check
Year: 2040, Type: Income, Amount: 4000, Name: Pay Check
Year: 2041, Type: Income, Amount: 4200, Name: Pay Check
Year: 2042, Type: Income, Amount: 4400, Name: Pay Check
Year: 2043, Type: Income, Amount: 4600, Name: Pay Check
Year: 2044, Type: Income, Amount: 4800, Name: Pay Check
Year: 2045, Type: Income, Amount: 5000, Name: Pay Check
Year: 2046, Type: Income, Amount: 5200, Name: Pay Check
Year: 2047, Type: Income, Amount: 5400, Name: Pay Check
Year: 2048, Type: Income, Amount: 5600, Name: Pay Check
Year: 2049, Type: Income, Amount: 5800, Name: Pay Check
Year: 2050, Type: Income, Amount: 6000, Name: Pay Check
Year: 2051, Type: Income, Amount: 6200, Name: Pay Check
Year: 2052, Type: Income, Amount: 6400, Name: Pay Check
Year: 2053, Type: Income, Amount: 6600, Name: Pay Check
Year: 2054, Type: Income, Amount: 6800, Name: Pay Check
Year: 2055, Type: Income, Amount: 7000, Name: Pay Check
Year: 2056, Type: Income, Amount: 7200, Name: Pay Check
Year: 2057, Type: Income, Amount: 7400, Name: Pay Check
Year: 2058, Type: Income, Amount: 7600, Name: Pay Check
Year: 2059, Type: Income, Amount: 7800, Name: Pay Check
Year: 2060, Type: Income, Amount: 8000, Name: Pay Check
Year: 2061, Type: Income, Amount: 8200, Name: Pay Check
Year: 2062, Type: Income, Amount: 8400, Name: Pay Check
Year: 2063, Type: Income, Amount: 8600, Name: Pay Check
Year: 2064, Type: Income, Amount: 8800, Name: Pay Check
Year: 2065, Type: Income, Amount: 9000, Name: Pay Check
Year: 2066, Type: Income, Amount: 9200, Name: Pay Check
Year: 2067, Type: Income, Amount: 9400, Name: Pay Check
Year: 2068, Type: Income, Amount: 9600, Name: Pay Check
Year: 2069, Type: Income, Amount: 9800, Name: Pay Check
Year: 2070, Type: Income, Amount: 10000, Name: Pay Check
Year: 2071, Type: Income, Amount: 10200, Name: Pay Check
Year: 2072, Type: Income, Amount: 10400, Name: Pay Check
Year: 2073, Type: Income, Amount: 10600, Name: Pay Check
Year: 2074, Type: Income, Amount: 10800, Name: Pay Check
Year: 2075, Type: Income, Amount: 11000, Name: Pay Check
Year: 2076, Type: Income, Amount: 11200, Name: Pay Check
Year: 2077, Type: Income, Amount: 11400, Name: Pay Check
Year: 2078, Type: Income, Amount: 11600, Name: Pay Check
Year: 2079, Type: Income, Amount: 11800, Name: Pay Check
Year: 2080, Type: Income, Amount: 12000, Name: Pay Check
Year: 2081, Type: Income, Amount: 12200, Name: Pay Check
Year: 2082, Type: Income, Amount: 12400, Name: Pay Check
Year: 2083, Type: Income, Amount: 12600, Name: Pay Check
Year: 2084, Type: Income, Amount: 12800, Name: Pay Check
Year: 2085, Type: Income, Amount: 13000, Name: Pay Check
Year: 2086, Type: Income, Amount: 13200, Name: Pay Check
Year: 2087, Type: Income, Amount: 13400, Name: Pay Check
