Year,cash,S&P 500,tax-exempt bonds,S&P 500,S&P 500,Cash
2025,100,10000,2000,10000,2000,0
2026,100,51787.4,22194.6,9990,8998,1000
2027,100,93139.25140099999,39916.822029,9980.01,15991.101999999999,1000
2028,100,135180.8328543764,57934.6426518756,9970.02999,22979.311528,1000
2029,100,177910.83336260068,76247.50001254315,9960.059960010001,29962.634106660997,1000
2030,100,221327.94441888656,94854.83332237996,9950.09990004999,36941.07525331039,1000
2031,100,265430.8600024574,113756.08285819601,9940.14980014994,43914.64047994736,1000
2032,100,310218.27657382283,132950.68996020977,9930.20965034979,50883.33529324826,1000
2033,100,355688.89307006425,152438.09703002754,9920.27944069944,57847.16519457199,1000
2034,100,401841.41090012935,172217.74752862687,9910.35916125874,64806.13567996539,1000
2035,100,448674.5339401354,192289.0859743437,9900.448802097482,71760.25224016857,1000
2036,100,448225.85940619523,191519.92963044634,9890.548353295384,71688.4919879284,77113.7658055955
2037,100,447777.63354678906,190753.84991192454,9880.657804942088,71616.80349594048,154327.20073493267
2038,100,447329.85591324227,189990.83451227684,9870.777147137145,71545.18669244453,232640.30468874864
2039,100,446882.526057329,189230.87117422774,9860.906369990009,71473.6415057521,312053.0775677508
2040,100,446435.6435312717,188473.94768953082,9851.04546362002,71402.16786424634,392565.51927261666
2041,100,445989.20788774046,187720.05189877268,9841.1944181564,71330.76569638209,474177.6297039939
2042,100,445543.2186798527,186969.1716911776,9831.353223738242,71259.4349306857,556889.4087625006
2043,100,445097.6754611729,186221.29500441288,9821.521870514503,71188.17549575501,640700.8563487249
2044,100,444652.57778571174,185476.40982439523,9811.70034864399,71116.98732025926,725611.9723632251
2045,100,444207.925207926,184734.50418509764,9801.888648295346,71045.870332939,811622.7567065295
2046,100,443763.7172827181,183995.56616835724,9792.08675964705,70974.82446260606,898733.209279137
2047,100,443319.95356543537,183259.58390368382,9782.294672887403,70903.84963814345,986943.3299815162
2048,100,442876.63361186994,182526.5455680691,9772.512378214517,70832.94578850531,1076253.118714106
2049,100,442433.7569782581,181796.4393857968,9762.739865836302,70762.1128427168,1166662.5753773157
2050,100,441991.32322127983,181069.25362825362,9752.977125970465,70691.35072987409,1258171.6998715245
2051,100,441549.33189805853,180344.9766137406,9743.224148844494,74090.35645300665,1350780.4920970814
2052,100,441107.7825661605,179623.59670728564,9733.48092469565,76268.87907953824,1444072.5883054426
2053,100,440666.6747835943,178905.1023204565,9723.747443770955,77228.14896733819,1538610.4021366662
2054,100,440226.00810881075,178189.48191117466,9714.023696327184,76969.39524688039,1634393.9323060391
2055,100,439785.78210070194,177476.72398352996,9704.309672630856,75493.84582247159,1731423.177528463
2056,100,439345.99631860125,176766.81708759585,9694.605362958226,72802.72737347844,1829698.1365184537
2057,100,438906.6503222826,176059.74981924545,9684.910757595268,68897.26535555335,1929218.8079901412
2058,100,438467.7436719604,175355.51081996848,9675.225846837673,63778.684001859016,2029985.1906572701
2059,100,438029.2759282884,174654.08877668862,9665.550620990836,57448.206324291874,2131997.2832331993
2060,100,437983.0113582425,173955.47242158186,9655.885070369846,49514.89725195911,2235255.0844309013
2061,100,437935.2005133118,173259.65053189552,9646.229185299477,40374.120511086105,2339758.5929629626
2062,100,437885.79118316516,172566.61192976794,9636.582956114178,40333.74639057502,2445507.8075415837
2063,100,437833.0380233062,171876.34548204887,9626.946373158064,40293.41264418444,2551265.934985456
2064,100,437778.5870137374,171188.84010012067,9617.319426784905,40253.11923154026,2658124.1364587755
2065,100,437722.37347874,170504.0847397202,9607.70210735812,40212.866112308715,2766082.214547817
2066,100,437664.32722137653,169822.06840076132,9598.094405250762,40172.65324619641,2750140.177125282
2067,100,437602.4248235063,169142.78012715827,9588.496310845512,40132.48059295021,2745077.481495347
2068,100,437538.5531824699,168466.20900664965,9578.907814534667,40092.348112357264,2740013.2470507226
2069,100,437470.5224663651,167792.34417062305,9569.328906720131,40052.25576424491,2734947.4733297653
2070,100,437400.3603295652,167121.17479394056,9559.759577813411,40012.20350848066,2729880.1598706916
2071,100,437325.6770000813,166452.6900947648,9550.199818235598,39972.191304972184,2724811.30621158
2072,100,437246.29576141573,165786.87933438574,9540.649618417363,39932.21911366721,2719740.911890371
2073,100,437162.0224534565,165123.7318170482,9531.108968798946,39892.286894553545,2714668.976444865
2074,100,437070.10408330587,164463.23688978,9521.577859830148,39852.39460765899,2709595.4994127257
2075,100,436972.92501676094,163805.38394222088,9512.056281970317,39812.54221305133,2704520.480331477
2076,100,436867.4851529497,163150.162406452,9502.544225688347,39772.72967083828,2699443.9187385035
2077,100,436753.50204044906,162497.56175682618,9493.041681462659,39732.95694116744,2694365.814171052
